a あ
b い
c う
f え
i お
* か
< き
% く
$ け
[ こ
: さ
\ し
? す
] せ
w そ
o た
r ち
n つ
q て
t と
k な
l に
m ぬ
p ね
s の
u は
v ひ
x ふ
& へ
! ほ
z ま
( み
y む
= め
) も
0 ん
/ や
+ ゆ
> よ
e ら
h り
d る
g れ
j ろ
' わ
9 を
1 っ
3 ー
"* が
"< ぎ
"% ぐ
"$ げ
"[ ご
": ざ
"\ じ
"? ず
"] ぜ
"w ぞ
"o だ
"r ぢ
"n づ
"q で
"t ど
"u ば
"v び
"x ぶ
"& べ
"! ぼ
,u ぱ
,v ぴ
,x ぷ
,& ぺ
,! ぽ
@* きゃ
@% きゅ
@[ きょ
@: しゃ
@? しゅ
@w しょ
@o ちゃ
@n ちゅ
@t ちょ
@k にゃ
@m にゅ
@s にょ
@u ひゃ
@x ひゅ
@! ひょ
@z みゃ
@y みゅ
@) みょ
@e りゃ
@d りゅ
@j りょ
^* ぎゃ
^% ぎゅ
^[ ぎょ
^: じゃ
^? じゅ
^w じょ
^o ぢゃ
^n ぢゅ
^t ぢょ
^u びゃ
^x びゅ
^! びょ
.u ぴゃ
.x ぴゅ
.! ぴょ
